Time [s], Analyzer Name, Decoded Protocol Result
2.292473375000000,SPI,MOSI: T (0x54);  MISO: '127' (0x7F)
2.292538291666667,SPI,MOSI: '128' (0x80);  MISO: j (0x6A)
2.292617875000000,SPI,MOSI: V (0x56);  MISO: '128' (0x80)
2.292682791666667,SPI,MOSI: '169' (0xA9);  MISO: j (0x6A)
2.292762166666667,SPI,MOSI: X (0x58);  MISO: '169' (0xA9)
2.292827083333334,SPI,MOSI: '3' (0x03);  MISO: l (0x6C)
2.292906458333333,SPI,MOSI: Z (0x5A);  MISO: '3' (0x03)
2.292971375000000,SPI,MOSI: '232' (0xE8);  MISO: l (0x6C)
2.293050750000000,SPI,MOSI: * (0x2A);  MISO: '232' (0xE8)
2.293115666666667,SPI,MOSI: @ (0x40);  MISO: '20' (0x14)
2.293195041666667,SPI,MOSI: " (0x22);  MISO: @ (0x40)
2.293259958333334,SPI,MOSI: = (0x3D);  MISO: '16' (0x10)
2.293339208333333,SPI,MOSI: '168' (0xA8);  MISO: = (0x3D)
2.293404125000000,SPI,MOSI: '0' (0x00);  MISO: '128' (0x80)
2.293484166666667,SPI,MOSI: ( (0x28);  MISO: '0' (0x00)
2.293549125000000,SPI,MOSI: '131' (0x83);  MISO: '20' (0x14)
